rastreador_id;equipamento_serial;placa;simCardId_atual;simCardId_desejado
8466;205739219;TEO 2G91;8466;124041
8225;205737583;GHB 2C84;8225;123637
8231;205738184;FJS 7304;8231;123994
10196;907037660;TERMO 7096;10196;124036
10569;907037664;EYZ 8365;10569;123633
10585;205739036;EAV 3D70;10585;123496
10946;205856282;OBD 3;10946;123645
10969;205856290;OBD 2;10969;123646
10577;205739032;TKJ 7D55;10577;123769
11326;205746406;FLY 4E85;11326;123992
11162;205744336;OWE 0I25;11162;123324
11352;907124921;LSM 6678;11352;124275
12042;907124845;STH 1G61;12042;123538
12250;205744332;FHO 8630;12250;122149
13388;007403683;FCZ 7666;13388;123814
13589;007457317; FRM 1G50;13589;34965
13794;007459626;FFH 9519;13794;123775
13837;007457261;EGI 4B48;13837;123657
13811;007485559;ESR 8G52;13811;124065
13842;007489034;EYS 3543;13842;34990
15457;007563307;1BZ310LATPD010188;15457;123729
15525;007560663;GFI 3G42;15525;123743
15789;907150049;FNH 8D78;15789;11193
15821;907150086;TMF 6D93;15821;33954
15848;907150042;EPG 1E92;15848;16384
15854;907149711;DVJ 1D53;15854;123625
16209;007845998;FVW 7G42;16209;16572
16223;007839812; CAT0318DLSGB30031;16223;123765
16214;007844393;TJD 4J37;16214;123738
15992;907148486;GFT 0G38;15992;124048
16084;907151281;LUL 5393;16084;123970
16589;007842151;TERMO 8350 ;16589;123319
17749;007933924;SUH 9H53;17749;124204
33992;007988954;JJA03104;33992;35005
34060;007988946;EGP 03;34060;124112
34288;007732041; FTD 7389;34288;123933
34253;007732972;DKH 6C47;34253;123762
34266;007732989;EVK 1236;34266;123853
34698;007732997;BQL 0H14;0;124045
34324;007733203;RFG 0I16;34324;123912
34391;007733235;LZJ 7505;34391;123851
34362;007733239;UFA 1A26;34362;123844
35152;007733243;DJC 0240;0;35023
34281;007735835;GFA 2I18;34281;123815
34319;007736065;36589389;34319;123796
10753;205729448;SUP 9C23;10753;8155
80146;1610029213;PAGANI 2;0;123480
86099;1610036766;EVR 5537;0;123433
92131;356354870886174;TZM 2J35;0;123348
105099;1700031583;EPW 0I21;0;124224
